user_id,playlist_id
User A,Playlist_4
User A,Playlist_33
User A,Playlist_1
User A,Playlist_77
User A,Playlist_5
User B,Playlist_70
User B,Playlist_101
User B,Playlist_62
User C,Playlist_9
User C,Playlist_60
User C,Playlist_21
User C,Playlist_28
User C,Playlist_29
User D,Playlist_99
User D,Playlist_13
User E,Playlist_14
User E,Playlist_39
User E,Playlist_103
User E,Playlist_55
User E,Playlist_62
User E,Playlist_11
User E,Playlist_44
User X,Playlist_81
User X,Playlist_80
User X,Playlist_89
User X,Playlist_51
User X,Playlist_77
User X,Playlist_61
User X,Playlist_0
